user_id,user_profile,original_query,rewritten_query,location,device,interests,rewrite_type
U001,customer_support,slow internet speed (India service center),Provide a formal and structured explanation of slow internet speed at India service center.,Bangalore,mobile,returns,formalization + localization
U002,travel,cheap flights to Europe from Delhi,Explain in detail about cheap flights to Europe from Delhi with examples.,Delhi,desktop,luxury travel,elaboration + localization
U003,shopping,best smartphones in Kolkata,Provide a formal and structured explanation of best smartphones in Kolkata.,Kolkata,tablet,electronics,formalization + localization
U004,shopping,running shoes in Kolkata,Explain in detail about running shoes in Kolkata with examples.,Kolkata,desktop,home decor,elaboration + localization
U005,exam_prep,integral calculus,Explain in detail about integral calculus with examples.,Kolkata,desktop,biology,elaboration
U006,tech_help,python list comprehension,Explain in detail about python list comprehension with examples.,Hyderabad,desktop,databases,elaboration
U007,shopping,kitchen appliances in Mumbai,Provide a formal and structured explanation of kitchen appliances in Mumbai.,Mumbai,tablet,fashion,formalization + localization
U008,customer_support,refund not processed (India service center),Explain in detail about refund not processed at India service center with examples.,Hyderabad,desktop,returns,elaboration + localization
U009,exam_prep,integral calculus,Provide a formal and structured explanation of integral calculus.,Kolkata,desktop,competitive exams,formalization
U010,customer_support,damaged product (India service center),Simple explanation of damaged product at India service center for beginners.,Chennai,tablet,returns,simplification + localization
U011,health,yoga benefits (India),Provide a formal and structured explanation of yoga benefits in India.,Hyderabad,desktop,nutrition,formalization + localization
U012,health,diet for weight loss (India),Simple explanation of diet for weight loss in India for beginners.,Chennai,tablet,nutrition,simplification + localization
U013,tech_help,debugging memory error,Explain in detail about debugging memory error with examples.,Bangalore,desktop,programming,elaboration
U014,travel,top places in Goa from Bangalore,Simple explanation of top places in Goa from Bangalore for beginners.,Bangalore,mobile,luxury travel,simplification + localization
U015,health,symptoms of diabetes (India),Explain in detail about symptoms of diabetes in India with examples.,Hyderabad,mobile,mental health,elaboration + localization
U016,shopping,budget laptops in Hyderabad,Explain in detail about budget laptops in Hyderabad with examples.,Hyderabad,mobile,electronics,elaboration + localization
U017,health,symptoms of diabetes (India),Explain in detail about symptoms of diabetes in India with examples.,Bangalore,desktop,nutrition,elaboration + localization
U018,shopping,best smartphones in Chennai,Simple explanation of best smartphones in Chennai for beginners.,Chennai,mobile,home decor,simplification + localization
U019,shopping,kitchen appliances in Kolkata,Explain in detail about kitchen appliances in Kolkata with examples.,Kolkata,mobile,electronics,elaboration + localization
U020,travel,cheap flights to Europe from Delhi,Simple explanation of cheap flights to Europe from Delhi for beginners.,Delhi,mobile,budget travel,simplification + localization
U021,tech_help,SQL join types,Provide a formal and structured explanation of SQL join types.,Hyderabad,tablet,databases,formalization
U022,health,diet for weight loss (India),Simple explanation of diet for weight loss in India for beginners.,Chennai,tablet,fitness,simplification + localization
U023,travel,top places in Goa from Mumbai,Provide a formal and structured explanation of top places in Goa from Mumbai.,Mumbai,desktop,adventure,formalization + localization
U024,tech_help,SQL join types,Provide a formal and structured explanation of SQL join types.,Delhi,desktop,AI/ML,formalization
U025,health,yoga benefits (India),Explain in detail about yoga benefits in India with examples.,Mumbai,desktop,fitness,elaboration + localization
U026,travel,top places in Goa from Mumbai,Simple explanation of top places in Goa from Mumbai for beginners.,Mumbai,mobile,luxury travel,simplification + localization
U027,travel,visa process for USA from Chennai,Simple explanation of visa process for USA from Chennai for beginners.,Chennai,desktop,adventure,simplification + localization
U028,exam_prep,photosynthesis process,Simple explanation of photosynthesis process for beginners.,Mumbai,tablet,physics,simplification
U029,health,diet for weight loss (India),Simple explanation of diet for weight loss in India for beginners.,Chennai,mobile,nutrition,simplification + localization
U030,tech_help,SQL join types,Explain in detail about SQL join types with examples.,Mumbai,tablet,programming,elaboration
U031,tech_help,debugging memory error,Explain in detail about debugging memory error with examples.,Hyderabad,tablet,AI/ML,elaboration
U032,shopping,best smartphones in Mumbai,Simple explanation of best smartphones in Mumbai for beginners.,Mumbai,tablet,electronics,simplification + localization
U033,shopping,kitchen appliances in Mumbai,Provide a formal and structured explanation of kitchen appliances in Mumbai.,Mumbai,desktop,electronics,formalization + localization
U034,health,symptoms of diabetes (India),Provide a formal and structured explanation of symptoms of diabetes in India.,Hyderabad,tablet,fitness,formalization + localization
U035,shopping,running shoes in Mumbai,Provide a formal and structured explanation of running shoes in Mumbai.,Mumbai,desktop,home decor,formalization + localization
U036,shopping,best smartphones in Kolkata,Explain in detail about best smartphones in Kolkata with examples.,Kolkata,tablet,home decor,elaboration + localization
U037,health,symptoms of diabetes (India),Provide a formal and structured explanation of symptoms of diabetes in India.,Delhi,mobile,nutrition,formalization + localization
U038,shopping,kitchen appliances in Chennai,Explain in detail about kitchen appliances in Chennai with examples.,Chennai,desktop,fashion,elaboration + localization
U039,customer_support,damaged product (India service center),Simple explanation of damaged product at India service center for beginners.,Chennai,tablet,technical issue,simplification + localization
U040,exam_prep,Newton's laws,Explain in detail about Newton's laws with examples.,Delhi,tablet,competitive exams,elaboration
U041,customer_support,issue with login (India service center),Simple explanation of issue with login at India service center for beginners.,Mumbai,mobile,billing,simplification + localization
U042,exam_prep,World War II causes,Provide a formal and structured explanation of World War II causes.,Kolkata,desktop,biology,formalization
U043,exam_prep,World War II causes,Simple explanation of World War II causes for beginners.,Kolkata,mobile,competitive exams,simplification
U044,health,yoga benefits (India),Simple explanation of yoga benefits in India for beginners.,Hyderabad,mobile,nutrition,simplification + localization
U045,travel,top places in Goa from Chennai,Simple explanation of top places in Goa from Chennai for beginners.,Chennai,tablet,adventure,simplification + localization
U046,travel,visa process for USA from Kolkata,Provide a formal and structured explanation of visa process for USA from Kolkata.,Kolkata,tablet,adventure,formalization + localization
